person,age,country,education,gender,FK_9,FK_10,FK_11,FK_12,sus_1,sus_2,sus_3,sus_4,session_id,Height,Weight,RecipeWebUsage,HomeCook,CookingExp,EatingGoals,Depression,PhysicalActivity,SleepHours,CookingTime,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,llm_explanation,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,under_1,under_2,under_3,use_1,use_2,condition,n_condition
5043,b45_55,GB,BA,Female,3,4,4,1,5,3,4,4,67081ddd6b47219053fca591,160,80,Monthly,Daily,High,Lose Weight,Somewhat,Not enough (<3h),≤7h,≤30min,494,Apple Glazed Pork Tenderloin,A,6,healthy,"Moroccan Tagine is a nutritious dish made with lean protein, vegetables, and flavorful spices. With a FSA score of 6 out of 6, this dish is a healthy option for those looking to maintain a balanced diet. With 434 calories, 1.933534743g fat, and 22.5g of protein, it provides a satisfying and nutritious meal for individuals with higher BMI and active lifestyles.",4,4,4,3,3,2,4,2,1,5,1,3,4,4,4,4,Explanation,4
5066,bover_55,GB,High_school,Male,3,3,3,3,5,2,3,4,5c364ce2ba92810001db13e8,178,69,Monthly,Daily,Medium,No Goal,Not at all,Average (=6h),7-9h,30-60min,2803,Divine Spaghetti Sauce,A,6,healthy,"Divine Spaghetti Sauce is a healthy and flavorful dish packed with nutritious ingredients like tomatoes, onions, garlic, and spices. With a perfect FSA score of 6, this sauce is low in fat with only 2.88g and high in protein with 26.3g, making it a satisfying choice for a well-balanced meal. With 534 calories per serving, this delicious recipe is ideal for someone with a normal BMI, no specific eating goal, and a moderate level of physical activity looking for a nourishing and delicious meal option.",4,4,4,3,4,2,4,2,3,3,5,4,4,4,4,4,Explanation,4
5059,b25_35,GB,BA,Male,3,4,4,2,4,3,4,2,5e7a46d8e1e19301df4faab9,180,57,Monthly,Daily,Medium,No Goal,Not at all,Average (=6h),7-9h,30-60min,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"Divine Spaghetti Sauce is a healthy and nutritious option with a FSA score of 6. With only 124 calories, 4.024351608g fat, and 11.7g protein per serving, it is ideal for those with lower BMI and no specific eating goals. Even for individuals with enough sleep and moderate activity levels, this recipe is a great choice to enjoy a delicious meal.",4,4,5,2,5,2,4,1,1,4,2,5,5,4,4,4,Explanation,4
5068,bover_55,GB,BA,Female,3,4,3,4,4,4,3,3,5ce2ab821497a8001a8467c1,164,70,Monthly,Daily,Medium,Lose Weight,Somewhat,Not enough (<3h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish featuring tender chicken, whole wheat pasta, and fresh vegetables. With a low FSA score of 5, it is a healthy option for those looking to maintain their weight. Packed with 185 calories, 1.307047163g fat, and 15.7g protein, it provides a balanced meal for individuals with higher BMI and moderate activity levels.",4,4,4,3,4,2,4,2,2,4,2,4,4,4,4,4,Explanation,4
5070,b18_24,US,High_school,Male,3,4,3,4,4,4,3,4,5cfb459229a6c2001764e10d,173,56,Monthly,Weekly,Medium,Gain Weight,Somewhat,Average (=6h),7-9h,≤30min,2719,Quick and Easy Chicken Noodle Soup,A,6,healthy,"Pasta Fagioli Soup II is a nutritious dish with a FSA score of 6, making it a healthy choice for those looking to gain weight. With only 161 calories, 1.505002282g of fat, and 13.4g of protein per serving, this soup is a satisfying and nourishing option for individuals with lower BMI who lead an active lifestyle and prioritize their health. Prepare this recipe for a balanced meal that will fuel your body and support your wellness goals.",4,3,4,5,3,2,4,2,2,3,2,2,2,2,3,3,Explanation,4
5072,b25_35,KE,BA,Male,3,3,3,1,5,4,4,3,67507d6907c477adb7787e15,5,70,Monthly,Daily,Medium,No Goal,Somewhat,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish featuring lean chicken breast, whole wheat pasta, and vegetables, all contributing to a FSA score of 5 out of 6 - indicating a healthy meal choice. With only 185 calories, 1.307g of fat, and 15.7g of protein per serving, this dish is suitable for individuals with higher BMI who are looking for a balanced meal to support their active lifestyle. With enough hours of sleep, somewhat active habits, and medium activity levels, preparing Chicken Pasta I will help you maintain a healthy diet without compromising on taste.",4,3,3,4,4,5,3,3,1,4,2,2,3,4,4,4,Explanation,4
5073,b45_55,GB,MSc,Female,3,4,4,2,3,3,4,4,5de501e6eb1b0a48a1c1af31,155,62,Monthly,Daily,High,Lose Weight,Not at all,Average (=6h),≤7h,30-60min,236,Imitation Meatloaf,A,6,healthy,"Michelle's Blonde Chicken Chili is a healthy and satisfying dish with a perfect FSA score of 6 out of 6. With only 331 calories, 3.867g of fat, and 17.4g of protein per serving, it is a nutritious option for those with higher BMI looking to maintain a balanced diet. Plus, its easy preparation makes it ideal for busy individuals with limited time for cooking.",4,4,4,3,4,2,4,2,2,4,5,4,5,4,5,5,Explanation,4
5075,b45_55,GB,MSc,Male,3,4,3,3,4,4,2,4,558860f6fdf99b4020ba0c59,188,120,Monthly,Daily,Low,Lose Weight,Not at all,Average (=6h),≤7h,≤30min,91,Homemade Black Bean Veggie Burgers,A,5,healthy,"These Homemade Black Bean Veggie Burgers are a nutritious and satisfying option, with a stellar FSA score of 5 out of 6. At only 198 calories per serving, they contain just 1.712964285g of fat and pack a healthy 11.2g of protein, making them a great choice for those maintaining a higher BMI and leading a moderately active lifestyle. With simple preparation, these burgers are a delicious way to incorporate more plant-based options into your diet.",4,4,3,3,3,5,2,1,3,3,2,4,3,4,4,4,Explanation,4
5077,b45_55,GB,High_school,Female,3,4,3,2,4,4,4,4,5b69965ba45b62000148e20a,160,54,Monthly,Daily,Medium,No Goal,Somewhat,A lot (>9h),≤7h,30-60min,446,Brazilian Black Bean Stew,A,6,healthy,"Moroccan Tagine is a wholesome and nourishing stew made with a mix of lean protein, such as chicken or lamb, and an array of nutrient-dense vegetables like carrots, tomatoes, and bell peppers. With a low FSA score of 6, this flavorful dish packs a punch with 508 calories, 2.36g fat, and 22.8g protein - making it a great choice for those looking to maintain a balanced diet while staying active and energized throughout the day.",4,2,3,4,2,4,2,2,2,4,4,4,4,4,5,5,Explanation,4
5078,bover_55,GB,BA,Female,5,5,5,1,5,5,5,1,62b6eacb30532251b7eb05c1,157,54,Weekly,Weekly,High,No Goal,Not at all,Average (=6h),≤7h,30-60min,3735,Hawaiian Chicken II,C,10,unhealthy,"Hawaiian Chicken II is a high-calorie dish with 540 calories and a high fat content of 4.739843486g, resulting in a FSA score of 10 out of 12, which is considered bad for your health. With 24.9g of protein, this dish may not be suitable for someone with normal BMI, no eating goals, few hours of sleep, not much physical activity, or looking to maintain a healthy diet.",5,5,5,5,5,1,5,1,1,5,1,5,5,5,5,5,Explanation,4
5083,b25_35,GB,MSc,Male,4,5,4,2,3,3,2,4,66452f8e6f5cff92c469b400,175,83,Monthly,Daily,Medium,Lose Weight,Somewhat,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish packed with lean chicken and whole wheat pasta, making it a healthy choice for those looking to maintain a balanced diet. With a low FSA score of 5 out of 6, 185 calories, 1.3g fat, and 15.7g protein, this recipe is not only delicious but also guilt-free. For individuals with higher BMI, adequate sleep, and moderate activity levels, Chicken Pasta I is an ideal option to enjoy a satisfying meal without compromising health goals.",4,2,4,5,2,4,2,3,1,4,4,3,4,3,2,2,Explanation,4
5080,b35_45,GB,Less_high_school,Male,3,2,3,4,4,1,4,5,6595fcb9477c6a68a50195ef,182,83,Monthly,Weekly,Very_Low,No Goal,Not at all,Not enough (<3h),7-9h,≤30min,4416,Parmesan Artichoke Casserole,D,10,unhealthy,"This Parmesan Artichoke Casserole is a high calorie dish with 16.69383335g of fat and a FSA score of 10 out of 12, indicating it is not very healthy. With 15.7g of protein, it may not be suitable for individuals with a higher BMI and no specific eating goals, limited sleep, low activity levels, and little desire to prepare a nutritious meal.",4,2,4,1,4,2,4,1,3,3,2,4,2,2,3,3,Explanation,4
5082,b45_55,GB,BA,Female,4,4,3,2,2,3,3,4,5e4176733f2ecf000aa8e2ad,157,96,Monthly,Daily,High,Lose Weight,Somewhat,Not enough (<3h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a flavorful and nutritious dish packed with lean protein and low in fat, earning a top FSA score of 4. With only 412 calories per serving, this chili is a satisfying and healthy option for those looking to fuel their bodies with wholesome ingredients. Perfect for individuals with higher BMI, limited sleep, and minimal activity levels, this recipe offers a balanced meal without sacrificing taste or nutrition.",5,4,4,2,4,2,4,1,1,5,1,4,4,4,4,4,Explanation,4
5081,b35_45,GB,BA,Male,4,4,4,2,5,4,3,4,665cf4259f94a044143b2fd5,193,90,Weekly,Weekly,Medium,No Goal,Not at all,Average (=6h),≤7h,30-60min,446,Brazilian Black Bean Stew,A,6,healthy,"Moroccan Tagine is a flavorful dish made with lean protein such as chicken or lamb, high in protein at 22.8g per serving, and low in fat at 2.36g. With a FSA score of 6 out of 6, this dish is not only healthy but also easy to prepare with 508 calories, making it a great option for those with medium activity levels and normal BMI looking for a nutritious meal.",4,3,4,3,3,1,5,1,2,4,1,4,3,3,4,5,Explanation,4
5085,b25_35,GB,High_school,Male,5,5,4,2,5,4,4,5,63d79f8bb2ac868ba9fd695f,175,85,Weekly,Daily,High,No Goal,Not at all,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish containing lean chicken breast and whole wheat pasta, resulting in a FSA score of 5 out of 6. With only 185 calories, 1.31g of fat, and 15.7g of protein, this meal is a healthy option for those with higher BMI but no specific eating goals, getting enough sleep, who are not at all active, and have medium activity levels.",5,4,5,3,4,2,5,2,2,5,4,5,4,5,4,4,Explanation,4
5087,b25_35,GB,High_school,Female,3,3,2,4,3,1,3,5,5c90bb590d21a20017ec455d,160,79,Monthly,Monthly,Low,Lose Weight,Not at all,Average (=6h),≤7h,≤30min,4167,Chicken Breast Stuffed with Spinach Blue Cheese and Bacon,C,10,unhealthy,"This dish, Chicken Breast Stuffed with Spinach, Blue Cheese, and Bacon, has a high FSA score of 10 out of 12, indicating it is not a healthy choice for those looking to reduce weight. With 444 calories, 9.45g of fat, and 41.6g of protein, it is not suitable for individuals with a higher BMI, poor sleep habits, and low physical activity levels. It is not recommended for consumption in this scenario.",4,3,2,4,3,3,2,4,3,4,2,4,3,2,3,2,Explanation,4
5086,b35_45,GB,MSc,Female,4,4,4,2,4,4,4,4,5c46270c4beda000014e5ddd,167,76,Weekly,Daily,Medium,Lose Weight,Somewhat,Average (=6h),7-9h,≥60min,3649,Enchilada Casserole,B,10,unhealthy,"Enchilada Casserole is a flavorful dish packed with unhealthy fats and calories, earning a poor FSA score of 10 out of 12. With 375 calories, 9.74g of fat, and 17.4g of protein, this recipe is not suitable for individuals with higher BMI aiming to lose weight. It's best to avoid this high-fat dish if you are not maintaining a healthy lifestyle with enough sleep and moderate physical activity.",4,4,4,4,3,2,4,2,2,4,2,4,4,2,4,4,Explanation,4
